Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),SOUTH PERIMETER LIGHTS 1:Lights Electricity Rate [W](Hourly),EAST PERIMETER LIGHTS 1:Lights Electricity Rate [W](Hourly),NORTH PERIMETER LIGHTS 1:Lights Electricity Rate [W](Hourly),WEST PERIMETER LIGHTS 1:Lights Electricity Rate [W](Hourly),CORE LIGHTS 1:Lights Electricity Rate [W](Hourly),PLENUM:Zone Air System Sensible Heating Rate [W](Hourly),PLENUM:Zone Air System Sensible Cooling Rate [W](Hourly),PLENUM:Zone Air Temperature [C](Hourly),SOUTH PERIMETER:Zone Air System Sensible Heating Rate [W](Hourly),SOUTH PERIMETER:Zone Air System Sensible Cooling Rate [W](Hourly),SOUTH PERIMETER:Zone Air Temperature [C](Hourly),EAST PERIMETER:Zone Air System Sensible Heating Rate [W](Hourly),EAST PERIMETER:Zone Air System Sensible Cooling Rate [W](Hourly),EAST PERIMETER:Zone Air Temperature [C](Hourly),NORTH PERIMETER:Zone Air System Sensible Heating Rate [W](Hourly),NORTH PERIMETER:Zone Air System Sensible Cooling Rate [W](Hourly),NORTH PERIMETER:Zone Air Temperature [C](Hourly),WEST PERIMETER:Zone Air System Sensible Heating Rate [W](Hourly),WEST PERIMETER:Zone Air System Sensible Cooling Rate [W](Hourly),WEST PERIMETER:Zone Air Temperature [C](Hourly),CORE:Zone Air System Sensible Heating Rate [W](Hourly),CORE:Zone Air System Sensible Cooling Rate [W](Hourly),CORE:Zone Air Temperature [C](Hourly),Whole Building:Facility Total HVAC Electricity Demand Rate [W](Hourly),SOUTH ZONE UNITARY HEATING COIL:Heating Coil Electricity Rate [W](Hourly),EAST ZONE UNITARY HEATING COIL:Heating Coil Electricity Rate [W](Hourly),WEST ZONE UNITARY HEATING COIL:Heating Coil Electricity Rate [W](Hourly),CORE UNITARY HEATING COIL:Heating Coil Electricity Rate [W](Hourly),NORTH ZONE UNITARY HEATING COIL:Heating Coil Electricity Rate [W](Hourly),SOUTH ZONE UNITARY COOLING COIL:Cooling Coil Electricity Rate [W](Hourly),EAST ZONE UNITARY COOLING COIL:Cooling Coil Electricity Rate [W](Hourly),WEST ZONE UNITARY COOLING COIL:Cooling Coil Electricity Rate [W](Hourly),CORE UNITARY COOLING COIL:Cooling Coil Electricity Rate [W](Hourly),NORTH ZONE UNITARY COOLING COIL:Cooling Coil Electricity Rate [W](Hourly) 
 01/01  12:00:00,-3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.061565881676398,0.0,0.0,22.365202955045477,0.0,0.0,19.916009566179598,0.0,0.0,18.37523156211028,0.0,0.0,19.07269577404324,0.0,0.0,19.19286376901229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  13:00:00,-2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.410774283172448,0.0,0.0,22.053172672693436,0.0,0.0,19.79576259588081,0.0,0.0,18.598245675754329,0.0,0.0,19.379829118660788,0.0,0.0,19.316085914403304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  14:00:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.722839476097907,0.0,0.0,21.548958477639937,0.0,0.0,19.725677600208436,0.0,0.0,18.81256639327344,0.0,0.0,19.712182974294277,0.0,0.0,19.45675409596756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  15:00:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.972225495422148,0.0,0.0,21.09013436474231,0.0,0.0,19.605980718437814,0.0,0.0,18.902617729926488,0.0,0.0,19.982511042442306,0.0,0.0,19.56932078847996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  16:00:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.145730683772097,0.0,0.0,20.49051799425422,0.0,0.0,19.47486287910187,0.0,0.0,18.930588999436958,0.0,0.0,20.019728382298625,0.0,0.0,19.682364926481939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  17:00:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.238270424267729,0.0,0.0,19.919284393893478,0.0,0.0,19.33647694520218,0.0,0.0,18.914900546071473,0.0,0.0,19.890963751415386,0.0,0.0,19.782096088294396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  18:00:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.26711870056706,0.0,0.0,19.490946214874364,0.0,0.0,19.206610767459315,0.0,0.0,18.878817917724605,0.0,0.0,19.759759563497803,0.0,0.0,19.814838412275017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  19:00:00,-2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.251878533640002,0.0,0.0,19.101691344718767,0.0,0.0,19.02649528719939,0.0,0.0,18.763709650283439,0.0,0.0,19.573529321171305,0.0,0.0,19.731039793434975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  20:00:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.207583758058969,0.0,0.0,18.839994146730655,0.0,0.0,18.905758291308059,0.0,0.0,18.69251610770205,0.0,0.0,19.4473987453209,0.0,0.0,19.663012997273389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  21:00:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.16039040872975,0.0,0.0,18.75193541691636,0.0,0.0,18.900864306310156,0.0,0.0,18.729929209174693,0.0,0.0,19.440964865039456,0.0,0.0,19.721582371707723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
