Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),SOUTH PERIMETER LIGHTS 1:Lights Electricity Rate [W](Hourly),EAST PERIMETER LIGHTS 1:Lights Electricity Rate [W](Hourly),NORTH PERIMETER LIGHTS 1:Lights Electricity Rate [W](Hourly),WEST PERIMETER LIGHTS 1:Lights Electricity Rate [W](Hourly),CORE LIGHTS 1:Lights Electricity Rate [W](Hourly),PLENUM:Zone Air System Sensible Heating Rate [W](Hourly),PLENUM:Zone Air System Sensible Cooling Rate [W](Hourly),PLENUM:Zone Air Temperature [C](Hourly),SOUTH PERIMETER:Zone Air System Sensible Heating Rate [W](Hourly),SOUTH PERIMETER:Zone Air System Sensible Cooling Rate [W](Hourly),SOUTH PERIMETER:Zone Air Temperature [C](Hourly),EAST PERIMETER:Zone Air System Sensible Heating Rate [W](Hourly),EAST PERIMETER:Zone Air System Sensible Cooling Rate [W](Hourly),EAST PERIMETER:Zone Air Temperature [C](Hourly),NORTH PERIMETER:Zone Air System Sensible Heating Rate [W](Hourly),NORTH PERIMETER:Zone Air System Sensible Cooling Rate [W](Hourly),NORTH PERIMETER:Zone Air Temperature [C](Hourly),WEST PERIMETER:Zone Air System Sensible Heating Rate [W](Hourly),WEST PERIMETER:Zone Air System Sensible Cooling Rate [W](Hourly),WEST PERIMETER:Zone Air Temperature [C](Hourly),CORE:Zone Air System Sensible Heating Rate [W](Hourly),CORE:Zone Air System Sensible Cooling Rate [W](Hourly),CORE:Zone Air Temperature [C](Hourly),Whole Building:Facility Total HVAC Electricity Demand Rate [W](Hourly),SOUTH ZONE UNITARY HEATING COIL:Heating Coil Electricity Rate [W](Hourly),EAST ZONE UNITARY HEATING COIL:Heating Coil Electricity Rate [W](Hourly),WEST ZONE UNITARY HEATING COIL:Heating Coil Electricity Rate [W](Hourly),CORE UNITARY HEATING COIL:Heating Coil Electricity Rate [W](Hourly),NORTH ZONE UNITARY HEATING COIL:Heating Coil Electricity Rate [W](Hourly),SOUTH ZONE UNITARY COOLING COIL:Cooling Coil Electricity Rate [W](Hourly),EAST ZONE UNITARY COOLING COIL:Cooling Coil Electricity Rate [W](Hourly),WEST ZONE UNITARY COOLING COIL:Cooling Coil Electricity Rate [W](Hourly),CORE UNITARY COOLING COIL:Cooling Coil Electricity Rate [W](Hourly),NORTH ZONE UNITARY COOLING COIL:Cooling Coil Electricity Rate [W](Hourly) 
 12/13  10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.226802116230138,1733.156810047969,0.0,21.99698219057547,731.0894012865747,0.0,21.995108894423756,1654.4043955326907,0.0,21.999408105097669,626.1934711166914,0.0,21.995757837483827,2027.4823061807984,0.0,21.99993675226663,10481.543191117971,1690.203389845369,1030.3432032034796,1376.0582791067826,3074.6608793407215,2206.7464654813504,0.0,0.0,0.0,0.0,0.0 
 12/13  11:00:00,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.478847108552515,1289.6360246330769,0.0,21.99919503568214,538.5768959164516,0.0,21.998327166310916,1298.046132759625,0.0,21.99988649584705,430.0982687685091,0.0,21.998356673953553,1672.268583367044,0.0,21.999991406547385,8747.504452241747,1231.9671859343792,811.6951617401026,1129.5943368966683,2657.742713911105,1812.974079619223,0.0,0.0,0.0,0.0,0.0 
 12/13  12:00:00,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.763465114496965,1099.6039615697883,0.0,21.99978558619146,480.5261773268867,0.0,21.999428500900288,1150.2060228750443,0.0,21.999978266761969,361.05285094681588,0.0,21.999364062868556,1589.6880347689676,0.0,21.999998834607159,8096.395964319325,1034.509304130909,739.5660692618711,1033.005256970776,2541.115370691332,1644.6689891241702,0.0,0.0,0.0,0.0,0.0 
 12/13  13:00:00,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.05683933992331,960.4607779683629,0.0,21.99994280204437,423.2273098991509,0.0,21.99980451210242,1015.3371311212168,0.0,21.999995831541328,286.0573163305344,0.0,21.999753618815448,1414.4375013527543,0.0,21.99999984161354,7430.077454846298,889.5766272001363,670.859651111607,935.3913021890843,2337.781325104588,1492.9375751006126,0.0,0.0,0.0,0.0,0.0 
 12/13  14:00:00,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.34726570830421,825.8053255119849,0.0,21.999984726264498,387.2059710948897,0.0,21.999933074890948,933.9223824901092,0.0,21.999999199572686,217.90899747789718,0.0,21.999904470391948,1299.9224792304459,0.0,21.999999978442668,6996.168505237044,754.9383168914146,634.9023890113404,867.4310577889829,2223.6379473412205,1411.7278200638173,0.0,0.0,0.0,0.0,0.0 
 12/13  15:00:00,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.605411014838098,988.881308370559,0.0,21.99999592124729,421.81761115581687,0.0,21.99997708697326,1008.0721527853739,0.0,21.999999846290537,248.63190585599296,0.0,21.999962958296348,1259.8888295037796,0.0,21.999999997065648,7257.624660786614,917.9383845712983,669.3681354991813,897.8904828278188,2183.243221890099,1485.6534618579488,0.0,0.0,0.0,0.0,0.0 
 12/13  16:00:00,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.80494660681206,1076.4600100948465,0.0,21.999998908373916,445.1851327310542,0.0,21.999992140945893,1049.6641209497512,0.0,21.999999970408767,263.4539477755043,0.0,21.999985612688027,1124.9542723952309,0.0,21.999999999599319,7374.32914640902,1011.1311125269199,703.9614890286225,935.1719338118112,2076.4460614828988,1544.0875754184997,0.0,0.0,0.0,0.0,0.0 
 12/13  17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.926551037926598,28.092272650310329,2833.002886521829,18.059966573943986,0.0,1425.7705528782759,18.07518370659526,0.0,2791.67286425462,18.14328113479974,0.0,1567.4735351200346,18.091051345034903,0.0,4553.773481801205,18.27996765066443,2726.5549368020845,2.6450016185649947,0.0,0.0,0.0,0.0,257.893713963187,48.35832464963464,36.20913878416309,869.1998870172591,408.71789662900746 
 12/13  18:00:00,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.747836013820398,0.0,909.3966725539112,17.999947724677118,0.0,555.436391460863,17.99970476795987,0.0,1045.6247131992705,17.999681319036787,0.0,722.1212143638868,17.999467638280338,0.0,2281.4036028724974,18.000253950687417,1395.181516669743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.65054252947456,0.0 
 12/13  19:00:00,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.538940854151698,0.0,883.1826174169382,17.99997431563718,0.0,510.93925943875458,17.999844785366809,0.0,1008.0853770130107,17.999812929620185,0.0,671.281030652679,17.99966314063328,0.0,2469.6952625189985,18.00026135951028,1445.3338370608583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.8028629205898,0.0 
